phi,gr,gradphi,u,
2922,28.08964497,674.0240987,2,104.0240987
2864,26.26213018,679.0543677,3,109.0543677
2814,24.68668639,683.9885668,4,113.9885668
2774,23.42633136,688.4137609,5,118.4137609
2736,22.22899408,693.0824926,6,123.0824926
2706,21.28372781,697.139382,7,127.139382
2672,20.21242604,701.1959074,8,131.1959074
2642,19.26715976,705.1245182,9,135.1245182
2624,18.7,710.3208556,10,140.3208556
2606,18.13284024,713.7171434,9,143.7171434
2600,17.94378698,714.8969497,8,144.8969497
2594,17.75473373,716.1018813,7,146.1018813
2590,17.62869822,716.9195267,6,146.9195267
2584,17.43964497,718.1681539,5,148.1681539
2578,17.25059172,719.4441491,4,149.4441491
2568,16.93550296,721.6341148,3,151.6341148
2554,16.4943787,724.8406307,2,154.8406307
